% Pruning,control_median,control_count,pah_median,pah_count,p value
0,2.30821770904,37,2.28203316829,42,0.0028404012832133094
5,2.30590922705,37,2.2798897238149998,42,0.0028404012832133094
10,2.30317891504,37,2.27811225431,42,0.002755988890083659
15,2.29981053868,37,2.27421660169,42,0.00329846390930616
20,2.29481137017,37,2.27105509582,42,0.0038219052824433213
25,2.28873689792,37,2.265793623855,42,0.004051331217947696
30,2.28237170552,37,2.26036954363,42,0.00417060434891487
35,2.27484756848,37,2.2539187467249997,42,0.005243567858904763
40,2.26626768146,37,2.2457872437599997,42,0.006738359579175754
45,2.25738936306,37,2.2369368112499997,42,0.008371142063438875
50,2.2469225708,37,2.2273897525199997,42,0.009559683505924043
55,2.23587376477,37,2.216280271375,42,0.012073792628023307
60,2.22070937737,37,2.202523959165,42,0.014771082010080318
65,2.20242874181,37,2.185730236965,42,0.018410073569746634
70,2.18083882546,37,2.1681368996,42,0.02738272030724654
75,2.15605007163,37,2.150424893515,42,0.04322641424486621
80,2.12581225497,37,2.118548068795,42,0.08680053743184779
85,2.09214018341,37,2.081457726135,42,0.13451895700871064
90,2.03833197299,37,2.03504626939,42,0.27612381604979486
95,1.9771230086,37,1.973408643115,42,0.412524348795977
100,1.65412644259,37,1.70194146103,42,0.015908545573179788
