SID,Lobe,Fractal_Dimension,Linear_Fit,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
001_pect_phfirst_060413,left,2.2984,y = -2.2984x + 13.9060,2.5419,2.1467,2.3110
001_pect_phfirst_060413,right,2.3987,y = -2.3987x + 14.5031,2.6390,2.1984,2.4502
001_pect_phfirst_060413,whole,2.3577,y = -2.3577x + 14.9362,2.5727,2.1772,2.3949
002_pect_phfirst_050913,left,2.3138,y = -2.3138x + 13.7559,2.4792,2.1489,2.3334
002_pect_phfirst_050913,right,2.2545,y = -2.2545x + 13.8997,2.4935,2.0862,2.2709
002_pect_phfirst_050913,whole,2.2799,y = -2.2799x + 14.5219,2.5108,2.1128,2.3039
004_pect_phfirst_082913,left,2.2586,y = -2.2586x + 13.0405,2.3429,2.1755,2.2523
004_pect_phfirst_082913,right,2.3466,y = -2.3466x + 13.6668,2.5154,2.2300,2.3545
004_pect_phfirst_082913,whole,2.3068,y = -2.3068x + 14.0830,2.4079,2.2113,2.3266
005_pect_phfirst_101912,left,2.3942,y = -2.3942x + 14.0011,2.4785,2.2690,2.4237
005_pect_phfirst_101912,right,2.4362,y = -2.4362x + 14.6314,2.6285,2.2592,2.4736
005_pect_phfirst_101912,whole,2.4226,y = -2.4226x + 15.0604,2.5867,2.2639,2.4605
006_pect_phfirst_061312_10,left,2.3003,y = -2.3003x + 14.7265,2.5947,2.0537,2.3345
006_pect_phfirst_061312_10,right,2.2667,y = -2.2667x + 14.6582,2.5850,2.0181,2.3149
006_pect_phfirst_061312_10,whole,2.2836,y = -2.2836x + 15.3861,2.5823,2.0378,2.3360
006_pect_phfirst_061312_9,left,2.3199,y = -2.3199x + 14.7268,2.5439,2.1473,2.3281
006_pect_phfirst_061312_9,right,2.2825,y = -2.2825x + 14.6406,2.5344,2.1190,2.2738
006_pect_phfirst_061312_9,whole,2.3021,y = -2.3021x + 15.3780,2.5589,2.1359,2.3218
007_pect_phfirst_053013,left,2.4499,y = -2.4499x + 14.0240,2.5571,2.3438,2.4537
007_pect_phfirst_053013,right,2.4536,y = -2.4536x + 14.2158,2.5860,2.2999,2.4619
007_pect_phfirst_053013,whole,2.4503,y = -2.4503x + 14.8150,2.5693,2.3181,2.4609
008_pect_phfirst_021912,left,2.4016,y = -2.4016x + 13.7655,2.5251,2.2972,2.4113
008_pect_phfirst_021912,right,2.3987,y = -2.3987x + 13.9428,2.5694,2.2661,2.4262
008_pect_phfirst_021912,whole,2.3984,y = -2.3984x + 14.5488,2.5260,2.2763,2.4150
009_pect_phfirst_012512,left,2.3174,y = -2.3174x + 13.9339,2.4220,2.2176,2.3196
009_pect_phfirst_012512,right,2.2946,y = -2.2946x + 13.5704,2.5247,2.1654,2.3035
