feature,lobe,artery_or_vein,SCALE,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,test_notes,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
FDs__Fractal_Dimension,whole,,1,91,2.359989876,0.050217368,2.229326523,2.330150883,2.360113755,2.395518263,2.468408106,37,2.371940813,0.046718371,2.262737281,2.343821936,2.368658608,2.412060271,2.468408106,12,2.350240894,0.064387321,2.243095066,2.301666145,2.352213783,2.39100039,2.445889351,42,2.352247093,0.047841401,2.229326523,2.330127946,2.357423622,2.388985069,2.450581773,,0.210050865,0.155923405,0.0687566,0.049918911,0.906240678,0.44621079
FDs_20SizeBy1__Fractal_Dimension,whole,,1,91,2.385966534,0.044026213,2.262884538,2.356428618,2.386755877,2.41524472,2.483300906,37,2.396339089,0.040597903,2.303072078,2.378355631,2.390514985,2.425374009,2.483300906,12,2.385703011,0.036285345,2.331523332,2.359552938,2.377029299,2.412827719,2.456083985,42,2.376904099,0.047677506,2.262884538,2.346401114,2.381005836,2.413976833,2.467178535,,0.423233292,0.185364995,0.056452849,0.072286583,0.557270374,0.319841938
FDs_DNN_SCALE__Fractal_Dimension,whole,,1,91,2.202166558,0.056342116,2.010047031,2.173602519,2.205977369,2.235786627,2.303022086,37,2.228751047,0.044864129,2.130706809,2.196977366,2.2335193,2.258444193,2.303022086,12,2.184949941,0.076916946,2.010047031,2.151291455,2.210549312,2.230817941,2.284308391,42,2.183665923,0.050383555,2.071639343,2.160966145,2.187663804,2.219320748,2.272648651,,0.018634787,0.037653595,7.74E-05,0.000141582,0.945430567,0.290691444
FDs_DNN_SCALE_20SizeBy1__Fractal_Dimension,whole,,1,91,2.055264785,0.055574392,1.904578362,2.021927556,2.059595933,2.089762524,2.179374016,37,2.086483802,0.04304264,1.990803594,2.059595933,2.088724274,2.113867792,2.179374016,12,2.043649801,0.051375592,1.95804697,2.025060685,2.045541744,2.065971852,2.122524145,42,2.031080884,0.054098346,1.904578362,1.997213554,2.031394732,2.072822213,2.131109669,,0.006351889,0.00708696,3.65E-06,5.50E-06,0.476412757,0.276597806
FDs_FACTOR_0_5_SCALE__Fractal_Dimension,whole,,0.5,91,2.164747336,0.050966616,2.01583339,2.130855456,2.17034719,2.194136194,2.261121162,37,2.182963049,0.041327983,2.098864674,2.150738046,2.181774907,2.210319364,2.261121162,12,2.153282801,0.071111581,2.01583339,2.117639219,2.162671229,2.195889084,2.260300817,42,2.151975741,0.048379868,2.039951707,2.124067277,2.159119261,2.184187803,2.233177324,,0.079928545,0.111118714,0.003238991,0.003935121,0.941328335,0.39740171
FDs_FACTOR_0_6_SCALE__Fractal_Dimension,whole,,0.6,91,2.216026728,0.051503246,2.068548329,2.183262134,2.220141092,2.25110198,2.316311098,37,2.233792452,0.04205444,2.145588736,2.200949266,2.236230533,2.263964205,2.311089006,12,2.201810543,0.070035887,2.068548329,2.15812136,2.214086685,2.245092685,2.308793483,42,2.204437738,0.049722303,2.088087891,2.175601197,2.20576412,2.240271711,2.316311098,,0.060368613,0.079773546,0.006238999,0.004293009,0.883811718,0.479258112
FDs_FACTOR_0_7_SCALE__Fractal_Dimension,whole,,0.7,91,2.259599117,0.051472411,2.124959402,2.228863847,2.262100719,2.297181947,2.35752395,37,2.275576425,0.044120151,2.16615278,2.248107149,2.27786208,2.309288143,2.35752395,12,2.247139132,0.066940104,2.124959402,2.200988657,2.256229909,2.288930955,2.351189532,42,2.249083866,0.05015264,2.129515999,2.226838096,2.249569675,2.286025887,2.356204077,,0.096009369,0.120177256,0.015424159,0.008149652,0.913038461,0.487551276
FDs_FACTOR_0_8_SCALE__Fractal_Dimension,whole,,0.8,91,2.298063223,0.051521702,2.16645229,2.270179056,2.299864244,2.336049894,2.400002241,37,2.312606819,0.04482449,2.203080881,2.282434187,2.312653594,2.341936349,2.400002241,12,2.285126718,0.066404455,2.168809913,2.238534155,2.292596441,2.325116301,2.384962412,42,2.288947153,0.05054376,2.16645229,2.267972483,2.2909113,2.325945598,2.391608388,,0.109490101,0.111118714,0.031686882,0.014052249,0.83060873,0.479258112
FDs_FACTOR_0_9_SCALE__Fractal_Dimension,whole,,0.9,91,2.330742011,0.050765445,2.199968071,2.301886203,2.330610158,2.371401719,2.436695681,37,2.343112632,0.045455474,2.234346566,2.314304905,2.339506463,2.378877375,2.436695681,12,2.319525309,0.065114359,2.208596254,2.271940281,2.323800224,2.358536372,2.417185529,42,2.323048854,0.049697165,2.199968071,2.300822233,2.326491913,2.359334288,2.417665734,,0.168309374,0.139825641,0.066252065,0.038904982,0.840826682,0.429811848
FDs_FACTOR_1_0_SCALE__Fractal_Dimension,whole,,1,91,2.359989876,0.050217368,2.229326523,2.330150883,2.360113755,2.395518263,2.468408106,37,2.371940813,0.046718371,2.262737281,2.343821936,2.368658608,2.412060271,2.468408106,12,2.350240894,0.064387321,2.243095066,2.301666145,2.352213783,2.39100039,2.445889351,42,2.352247093,0.047841401,2.229326523,2.330127946,2.357423622,2.388985069,2.450581773,,0.210050865,0.155923405,0.0687566,0.049918911,0.906240678,0.44621079
