feature,lobe,artery_or_vein,FD_type,SCALE,total__count,total__mean,total__std,total__min,total__25%,total__50%,total__75%,total__max,control__count,control__mean,control__std,control__min,control__25%,control__50%,control__75%,control__max,epah__count,epah__mean,epah__std,epah__min,epah__25%,epah__50%,epah__75%,epah__max,pah__count,pah__mean,pah__std,pah__min,pah__25%,pah__50%,pah__75%,pah__max,test_notes,t-test_control_epah,wilcoxon_control_epah,t-test_control_pah,wilcoxon_control_pah,t-test_epah_pah,wilcoxon_epah_pah
FDs__Fractal_Dimension,whole,,,1,91,2.359989876,0.050217368,2.229326523,2.330150883,2.360113755,2.395518263,2.468408106,37,2.371940813,0.046718371,2.262737281,2.343821936,2.368658608,2.412060271,2.468408106,12,2.350240894,0.064387321,2.243095066,2.301666145,2.352213783,2.39100039,2.445889351,42,2.352247093,0.047841401,2.229326523,2.330127946,2.357423622,2.388985069,2.450581773,,0.210050865,0.155923405,0.0687566,0.049918911,0.906240678,0.44621079
FDs_20Size__Fractal_Dimension,whole,,,1,91,2.376621851,0.043136869,2.259476063,2.347448234,2.37786445,2.406308494,2.473355381,37,2.385608735,0.040033686,2.300208153,2.369141694,2.378782138,2.414374277,2.473355381,12,2.377581954,0.03418533,2.325177613,2.352312735,2.370631173,2.40366781,2.44338151,42,2.368430519,0.047137978,2.259476063,2.339082135,2.374377091,2.404467928,2.458825365,,0.535883829,0.261293727,0.08707223,0.106965812,0.534513671,0.290691444
FDs_20SizeBy1__Fractal_Dimension,whole,,20SizeBy1,1,91,2.385966534,0.044026213,2.262884538,2.356428618,2.386755877,2.41524472,2.483300906,37,2.396339089,0.040597903,2.303072078,2.378355631,2.390514985,2.425374009,2.483300906,12,2.385703011,0.036285345,2.331523332,2.359552938,2.377029299,2.412827719,2.456083985,42,2.376904099,0.047677506,2.262884538,2.346401114,2.381005836,2.413976833,2.467178535,,0.423233292,0.185364995,0.056452849,0.072286583,0.557270374,0.319841938
FDs_ManySize__Fractal_Dimension,whole,,,1,91,2.345188736,0.056061587,2.186632978,2.311836231,2.350138429,2.385989516,2.464941097,37,2.361892388,0.054479133,2.233031061,2.33091836,2.362846774,2.395069225,2.464941097,12,2.327341379,0.063502054,2.186632978,2.294255963,2.345890616,2.378951147,2.387640826,42,2.335572859,0.052644011,2.200501176,2.299073161,2.334532681,2.375187366,2.431338185,,0.073039987,0.079773546,0.032197268,0.023869703,0.65011947,0.405447344
FDs_ManySizeBy1__Fractal_Dimension,whole,,ManySizeBy1,1,91,2.312846291,0.058736918,2.153501844,2.2795412,2.316888394,2.359433536,2.415658347,37,2.328860073,0.058747883,2.198247282,2.291117368,2.341220843,2.37376378,2.415658347,12,2.28547873,0.066679818,2.153501844,2.271980146,2.299750684,2.314602547,2.392764724,42,2.306558215,0.05346757,2.157843542,2.279264635,2.312567697,2.336540878,2.412616776,,0.036612924,0.026108794,0.081299511,0.028008217,0.259763095,0.161503528
FDs_DNN_SCALE__Fractal_Dimension,whole,,,1,91,2.202166558,0.056342116,2.010047031,2.173602519,2.205977369,2.235786627,2.303022086,37,2.228751047,0.044864129,2.130706809,2.196977366,2.2335193,2.258444193,2.303022086,12,2.184949941,0.076916946,2.010047031,2.151291455,2.210549312,2.230817941,2.284308391,42,2.183665923,0.050383555,2.071639343,2.160966145,2.187663804,2.219320748,2.272648651,,0.018634787,0.037653595,7.74E-05,0.000141582,0.945430567,0.290691444
FDs_DNN_SCALE_20SizeBy1__Fractal_Dimension,whole,,20SizeBy1,1,91,2.055264785,0.055574392,1.904578362,2.021927556,2.059595933,2.089762524,2.179374016,37,2.086483802,0.04304264,1.990803594,2.059595933,2.088724274,2.113867792,2.179374016,12,2.043649801,0.051375592,1.95804697,2.025060685,2.045541744,2.065971852,2.122524145,42,2.031080884,0.054098346,1.904578362,1.997213554,2.031394732,2.072822213,2.131109669,,0.006351889,0.00708696,3.65E-06,5.50E-06,0.476412757,0.276597806
FDs_DNN_SCALE_ManySizeBy1__Fractal_Dimension,whole,,ManySizeBy1,1,91,2.255472127,0.063612937,2.040750612,2.214054705,2.258769939,2.306523469,2.37431042,37,2.277767893,0.059076698,2.147621601,2.236254075,2.28496664,2.319504746,2.37431042,12,2.223174648,0.080305865,2.040750612,2.201398016,2.246580754,2.261266478,2.332085404,42,2.24505847,0.056772591,2.102568794,2.213510444,2.24981887,2.281496562,2.358879879,,0.014412971,0.017685636,0.014273597,0.006032873,0.289651254,0.242898364
FDs_FACTOR_0_5_SCALE__Fractal_Dimension,whole,,,0.5,91,2.164747336,0.050966616,2.01583339,2.130855456,2.17034719,2.194136194,2.261121162,37,2.182963049,0.041327983,2.098864674,2.150738046,2.181774907,2.210319364,2.261121162,12,2.153282801,0.071111581,2.01583339,2.117639219,2.162671229,2.195889084,2.260300817,42,2.151975741,0.048379868,2.039951707,2.124067277,2.159119261,2.184187803,2.233177324,,0.079928545,0.111118714,0.003238991,0.003935121,0.941328335,0.39740171
FDs_FACTOR_0_6_SCALE__Fractal_Dimension,whole,,,0.6,91,2.216026728,0.051503246,2.068548329,2.183262134,2.220141092,2.25110198,2.316311098,37,2.233792452,0.04205444,2.145588736,2.200949266,2.236230533,2.263964205,2.311089006,12,2.201810543,0.070035887,2.068548329,2.15812136,2.214086685,2.245092685,2.308793483,42,2.204437738,0.049722303,2.088087891,2.175601197,2.20576412,2.240271711,2.316311098,,0.060368613,0.079773546,0.006238999,0.004293009,0.883811718,0.479258112
